Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
Sample Interval,4.00E-07,s,-3.04E-04,-4.00E-02,,Sample Interval,4.00E-07,s,-3.04E-04,8.00E-02
Trigger Point,759.9999574,Samples,-3.04E-04,-6.00E-02,,Trigger Point,759.9999574,Samples,-3.04E-04,1.60E-01
,,,-3.03E-04,-4.00E-02,,,,,-3.03E-04,8.00E-02
,,,-3.03E-04,-6.00E-02,,,,,-3.03E-04,8.00E-02
,,,-3.02E-04,-2.00E-02,,,,,-3.02E-04,0
Source,CH1,,-3.02E-04,-6.00E-02,,Source,CH2,,-3.02E-04,1.60E-01
Vertical Units,Volts,,-3.02E-04,-2.00E-02,,Vertical Units,Volts,,-3.02E-04,8.00E-02
Vertical Scale,5.00E-01,,-3.01E-04,-4.00E-02,,Vertical Scale,2,,-3.01E-04,0
Vertical Offset,0,,-3.01E-04,-4.00E-02,,Vertical Offset,0,,-3.01E-04,-8.00E-02
Horizontal Units,s,,-3.00E-04,-4.00E-02,,Horizontal Units,s,,-3.00E-04,8.00E-02
Horizontal Scale,1.00E-04,,-3.00E-04,-4.00E-02,,Horizontal Scale,1.00E-04,,-3.00E-04,8.00E-02
Pt Fmt,Y,,-3.00E-04,-4.00E-02,,Pt Fmt,Y,,-3.00E-04,8.00E-02
Yzero,0,,-2.99E-04,-4.00E-02,,Yzero,1,,-2.99E-04,8.00E-02
Probe Atten,1,,-2.99E-04,-6.00E-02,,Probe Atten,1,,-2.99E-04,8.00E-02
,,,-2.98E-04,-4.00E-02,,,,,-2.98E-04,0
Note,TDS 1002B - 4:36:09 PM   2/22/2023,,-2.98E-04,-4.00E-02,,Note,TDS 1002B - 4:36:09 PM   2/22/2023,,-2.98E-04,8.00E-02
,,,-2.98E-04,-4.00E-02,,,,,-2.98E-04,8.00E-02
,,,-2.97E-04,-6.00E-02,,,,,-2.97E-04,8.00E-02
,,,-2.97E-04,-6.00E-02,,,,,-2.97E-04,8.00E-02
,,,-2.96E-04,-6.00E-02,,,,,-2.96E-04,0
,,,-2.96E-04,-6.00E-02,,,,,-2.96E-04,8.00E-02
,,,-2.96E-04,-6.00E-02,,,,,-2.96E-04,8.00E-02
,,,-2.95E-04,-4.00E-02,,,,,-2.95E-04,8.00E-02
,,,-2.95E-04,-4.00E-02,,,,,-2.95E-04,8.00E-02
,,,-2.94E-04,-2.00E-02,,,,,-2.94E-04,8.00E-02
,,,-2.94E-04,-4.00E-02,,,,,-2.94E-04,8.00E-02
,,,-2.94E-04,-2.00E-02,,,,,-2.94E-04,1.60E-01
,,,-2.93E-04,-4.00E-02,,,,,-2.93E-04,8.00E-02
,,,-2.93E-04,-6.00E-02,,,,,-2.93E-04,2.40E-01
,,,-2.92E-04,-4.00E-02,,,,,-2.92E-04,8.00E-02
