Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,3.52E-05,-2.00E-02,,,,,3.52E-05,2.96000004
,,,3.56E-05,-2.00E-02,,,,,3.56E-05,2.96000004
,,,3.60E-05,-2.00E-02,,,,,3.60E-05,2.96000004
,,,3.64E-05,4.00E-02,,,,,3.64E-05,2.96000004
,,,3.68E-05,2.00E-02,,,,,3.68E-05,2.96000004
,,,3.72E-05,-2.00E-02,,,,,3.72E-05,2.96000004
,,,3.76E-05,-2.00E-02,,,,,3.76E-05,2.96000004
,,,3.80E-05,-2.00E-02,,,,,3.80E-05,3.03999996
,,,3.84E-05,-2.00E-02,,,,,3.84E-05,2.96000004
,,,3.88E-05,-4.00E-02,,,,,3.88E-05,2.96000004
,,,3.92E-05,-2.00E-02,,,,,3.92E-05,2.96000004
,,,3.96E-05,0,,,,,3.96E-05,2.87999988
,,,4.00E-05,-2.00E-02,,,,,4.00E-05,2.96000004
,,,4.04E-05,2.00E-02,,,,,4.04E-05,2.96000004
,,,4.08E-05,0,,,,,4.08E-05,2.96000004
,,,4.12E-05,0,,,,,4.12E-05,2.87999988
,,,4.16E-05,0,,,,,4.16E-05,2.96000004
,,,4.20E-05,0,,,,,4.20E-05,3.03999996
,,,4.24E-05,-2.00E-02,,,,,4.24E-05,2.96000004
,,,4.28E-05,0,,,,,4.28E-05,3.03999996
,,,4.32E-05,0,,,,,4.32E-05,2.96000004
,,,4.36E-05,-2.00E-02,,,,,4.36E-05,3.03999996
,,,4.40E-05,-2.00E-02,,,,,4.40E-05,2.96000004
,,,4.44E-05,0,,,,,4.44E-05,2.87999988
,,,4.48E-05,0,,,,,4.48E-05,3.03999996
,,,4.52E-05,0,,,,,4.52E-05,2.96000004
,,,4.56E-05,2.00E-02,,,,,4.56E-05,2.96000004
,,,4.60E-05,-2.00E-02,,,,,4.60E-05,3.03999996
,,,4.64E-05,0,,,,,4.64E-05,2.96000004
,,,4.68E-05,2.00E-02,,,,,4.68E-05,2.96000004
,,,4.72E-05,0,,,,,4.72E-05,3.03999996
,,,4.76E-05,-2.00E-02,,,,,4.76E-05,2.96000004
,,,4.80E-05,-2.00E-02,,,,,4.80E-05,3.03999996
,,,4.84E-05,2.00E-02,,,,,4.84E-05,2.96000004
,,,4.88E-05,0,,,,,4.88E-05,2.96000004
,,,4.92E-05,0,,,,,4.92E-05,2.96000004
,,,4.96E-05,0,,,,,4.96E-05,2.96000004
,,,5.00E-05,-2.00E-02,,,,,5.00E-05,2.96000004
,,,5.04E-05,-2.00E-02,,,,,5.04E-05,3.03999996
,,,5.08E-05,-2.00E-02,,,,,5.08E-05,2.87999988
,,,5.12E-05,-6.00E-02,,,,,5.12E-05,2.87999988
,,,5.16E-05,0,,,,,5.16E-05,3.03999996
,,,5.20E-05,-2.00E-02,,,,,5.20E-05,2.96000004
,,,5.24E-05,-2.00E-02,,,,,5.24E-05,2.96000004
,,,5.28E-05,0,,,,,5.28E-05,2.96000004
,,,5.32E-05,0,,,,,5.32E-05,3.03999996
,,,5.36E-05,0,,,,,5.36E-05,2.96000004
,,,5.40E-05,0,,,,,5.40E-05,2.87999988
,,,5.44E-05,-4.00E-02,,,,,5.44E-05,3.03999996
,,,5.48E-05,0,,,,,5.48E-05,3.03999996
,,,5.52E-05,-2.00E-02,,,,,5.52E-05,2.96000004
,,,5.56E-05,0,,,,,5.56E-05,2.87999988
,,,5.60E-05,-2.00E-02,,,,,5.60E-05,2.87999988
,,,5.64E-05,2.00E-02,,,,,5.64E-05,2.96000004
,,,5.68E-05,-4.00E-02,,,,,5.68E-05,2.87999988
,,,5.72E-05,0,,,,,5.72E-05,2.96000004
,,,5.76E-05,-2.00E-02,,,,,5.76E-05,2.87999988
,,,5.80E-05,-4.00E-02,,,,,5.80E-05,2.96000004
,,,5.84E-05,0,,,,,5.84E-05,2.96000004
,,,5.88E-05,0,,,,,5.88E-05,2.96000004
,,,5.92E-05,2.00E-02,,,,,5.92E-05,2.96000004
,,,5.96E-05,-6.00E-02,,,,,5.96E-05,2.96000004
,,,6.00E-05,0,,,,,6.00E-05,2.87999988
,,,6.04E-05,-4.00E-02,,,,,6.04E-05,2.96000004
,,,6.08E-05,-4.00E-02,,,,,6.08E-05,2.96000004
,,,6.12E-05,-2.00E-02,,,,,6.12E-05,2.96000004
,,,6.16E-05,-2.00E-02,,,,,6.16E-05,2.96000004
,,,6.20E-05,0,,,,,6.20E-05,2.96000004
,,,6.24E-05,2.00E-02,,,,,6.24E-05,2.96000004
,,,6.28E-05,-4.00E-02,,,,,6.28E-05,3.03999996
,,,6.32E-05,0,,,,,6.32E-05,2.96000004
,,,6.36E-05,-2.00E-02,,,,,6.36E-05,2.87999988
,,,6.40E-05,-2.00E-02,,,,,6.40E-05,2.96000004
,,,6.44E-05,-4.00E-02,,,,,6.44E-05,2.96000004
,,,6.48E-05,-6.00E-02,,,,,6.48E-05,3.03999996
,,,6.52E-05,-2.00E-02,,,,,6.52E-05,2.96000004
,,,6.56E-05,0,,,,,6.56E-05,3.03999996
,,,6.60E-05,-4.00E-02,,,,,6.60E-05,2.96000004
,,,6.64E-05,2.00E-02,,,,,6.64E-05,2.96000004
,,,6.68E-05,0,,,,,6.68E-05,2.96000004
,,,6.72E-05,-2.00E-02,,,,,6.72E-05,3.03999996
,,,6.76E-05,-2.00E-02,,,,,6.76E-05,2.96000004
,,,6.80E-05,0,,,,,6.80E-05,2.96000004
,,,6.84E-05,0,,,,,6.84E-05,2.96000004
,,,6.88E-05,0,,,,,6.88E-05,2.96000004
,,,6.92E-05,2.00E-02,,,,,6.92E-05,2.96000004
,,,6.96E-05,0,,,,,6.96E-05,2.96000004
,,,7.00E-05,-6.00E-02,,,,,7.00E-05,2.96000004
,,,7.04E-05,0,,,,,7.04E-05,2.87999988
,,,7.08E-05,-6.00E-02,,,,,7.08E-05,2.96000004
,,,7.12E-05,-2.00E-02,,,,,7.12E-05,3.03999996
,,,7.16E-05,0,,,,,7.16E-05,2.96000004
,,,7.20E-05,0,,,,,7.20E-05,2.96000004
,,,7.24E-05,-2.00E-02,,,,,7.24E-05,2.96000004
,,,7.28E-05,-2.00E-02,,,,,7.28E-05,3.11999989
,,,7.32E-05,0,,,,,7.32E-05,2.96000004
,,,7.36E-05,-2.00E-02,,,,,7.36E-05,2.87999988
,,,7.40E-05,0,,,,,7.40E-05,2.96000004
,,,7.44E-05,-2.00E-02,,,,,7.44E-05,2.87999988
,,,7.48E-05,0,,,,,7.48E-05,2.87999988
,,,7.52E-05,-2.00E-02,,,,,7.52E-05,2.96000004
,,,7.56E-05,0,,,,,7.56E-05,2.96000004
,,,7.60E-05,2.00E-02,,,,,7.60E-05,2.96000004
,,,7.64E-05,0,,,,,7.64E-05,2.96000004
,,,7.68E-05,-2.00E-02,,,,,7.68E-05,3.03999996
,,,7.72E-05,-4.00E-02,,,,,7.72E-05,2.96000004
,,,7.76E-05,0,,,,,7.76E-05,2.96000004
,,,7.80E-05,2.00E-02,,,,,7.80E-05,2.96000004
,,,7.84E-05,-2.00E-02,,,,,7.84E-05,2.96000004
,,,7.88E-05,-2.00E-02,,,,,7.88E-05,2.96000004
,,,7.92E-05,-2.00E-02,,,,,7.92E-05,2.96000004
,,,7.96E-05,-4.00E-02,,,,,7.96E-05,2.87999988
,,,8.00E-05,0,,,,,8.00E-05,2.96000004
,,,8.04E-05,-2.00E-02,,,,,8.04E-05,3.03999996
,,,8.08E-05,0,,,,,8.08E-05,2.96000004
,,,8.12E-05,0,,,,,8.12E-05,2.96000004
,,,8.16E-05,-2.00E-02,,,,,8.16E-05,3.11999989
,,,8.20E-05,0,,,,,8.20E-05,3.03999996
,,,8.24E-05,0,,,,,8.24E-05,2.96000004
,,,8.28E-05,-6.00E-02,,,,,8.28E-05,3.03999996
,,,8.32E-05,-2.00E-02,,,,,8.32E-05,2.96000004
,,,8.36E-05,-4.00E-02,,,,,8.36E-05,2.96000004
,,,8.40E-05,-2.00E-02,,,,,8.40E-05,2.87999988
,,,8.44E-05,0,,,,,8.44E-05,3.03999996
,,,8.48E-05,-2.00E-02,,,,,8.48E-05,3.03999996
,,,8.52E-05,2.00E-02,,,,,8.52E-05,2.96000004
,,,8.56E-05,-2.00E-02,,,,,8.56E-05,2.96000004
,,,8.60E-05,-2.00E-02,,,,,8.60E-05,2.96000004
,,,8.64E-05,0,,,,,8.64E-05,2.96000004
,,,8.68E-05,0,,,,,8.68E-05,2.96000004
,,,8.72E-05,-2.00E-02,,,,,8.72E-05,3.03999996
,,,8.76E-05,-2.00E-02,,,,,8.76E-05,3.03999996
,,,8.80E-05,2.00E-02,,,,,8.80E-05,2.96000004
,,,8.84E-05,-4.00E-02,,,,,8.84E-05,2.87999988
,,,8.88E-05,0,,,,,8.88E-05,2.87999988
,,,8.92E-05,-2.00E-02,,,,,8.92E-05,2.96000004
,,,8.96E-05,0,,,,,8.96E-05,2.96000004
,,,9.00E-05,-2.00E-02,,,,,9.00E-05,3.03999996
