Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,-2.72E-04,-4.00E-02,,,,,-2.72E-04,8.00E-02
,,,-2.71E-04,-2.00E-02,,,,,-2.71E-04,-8.00E-02
,,,-2.71E-04,0,,,,,-2.71E-04,0
,,,-2.70E-04,-2.00E-02,,,,,-2.70E-04,8.00E-02
,,,-2.70E-04,-6.00E-02,,,,,-2.70E-04,8.00E-02
,,,-2.70E-04,-2.00E-02,,,,,-2.70E-04,8.00E-02
,,,-2.69E-04,-6.00E-02,,,,,-2.69E-04,1.60E-01
,,,-2.69E-04,-2.00E-02,,,,,-2.69E-04,-8.00E-02
,,,-2.68E-04,-6.00E-02,,,,,-2.68E-04,8.00E-02
,,,-2.68E-04,-2.00E-02,,,,,-2.68E-04,8.00E-02
,,,-2.68E-04,-4.00E-02,,,,,-2.68E-04,0
,,,-2.67E-04,0,,,,,-2.67E-04,-8.00E-02
,,,-2.67E-04,-4.00E-02,,,,,-2.67E-04,0
,,,-2.66E-04,-2.00E-02,,,,,-2.66E-04,-8.00E-02
,,,-2.66E-04,-4.00E-02,,,,,-2.66E-04,8.00E-02
,,,-2.66E-04,0,,,,,-2.66E-04,8.00E-02
,,,-2.65E-04,0,,,,,-2.65E-04,8.00E-02
,,,-2.65E-04,-2.00E-02,,,,,-2.65E-04,8.00E-02
,,,-2.64E-04,-4.00E-02,,,,,-2.64E-04,0
,,,-2.64E-04,-2.00E-02,,,,,-2.64E-04,8.00E-02
,,,-2.64E-04,-2.00E-02,,,,,-2.64E-04,-8.00E-02
,,,-2.63E-04,-2.00E-02,,,,,-2.63E-04,0
,,,-2.63E-04,-2.00E-02,,,,,-2.63E-04,0
,,,-2.62E-04,-2.00E-02,,,,,-2.62E-04,-8.00E-02
,,,-2.62E-04,-2.00E-02,,,,,-2.62E-04,8.00E-02
,,,-2.62E-04,-2.00E-02,,,,,-2.62E-04,-8.00E-02
,,,-2.61E-04,-6.00E-02,,,,,-2.61E-04,-8.00E-02
,,,-2.61E-04,2.00E-02,,,,,-2.61E-04,8.00E-02
,,,-2.60E-04,-2.00E-02,,,,,-2.60E-04,8.00E-02
,,,-2.60E-04,-2.00E-02,,,,,-2.60E-04,0
,,,-2.60E-04,-2.00E-02,,,,,-2.60E-04,8.00E-02
,,,-2.59E-04,0,,,,,-2.59E-04,0
,,,-2.59E-04,-4.00E-02,,,,,-2.59E-04,8.00E-02
,,,-2.58E-04,-2.00E-02,,,,,-2.58E-04,0
,,,-2.58E-04,-6.00E-02,,,,,-2.58E-04,-8.00E-02
,,,-2.58E-04,-2.00E-02,,,,,-2.58E-04,0
,,,-2.57E-04,-4.00E-02,,,,,-2.57E-04,0
,,,-2.57E-04,-6.00E-02,,,,,-2.57E-04,0
,,,-2.56E-04,-2.00E-02,,,,,-2.56E-04,-8.00E-02
,,,-2.56E-04,-2.00E-02,,,,,-2.56E-04,0
,,,-2.56E-04,-4.00E-02,,,,,-2.56E-04,0
,,,-2.55E-04,-6.00E-02,,,,,-2.55E-04,8.00E-02
,,,-2.55E-04,-4.00E-02,,,,,-2.55E-04,8.00E-02
,,,-2.54E-04,-4.00E-02,,,,,-2.54E-04,8.00E-02
,,,-2.54E-04,-4.00E-02,,,,,-2.54E-04,0
,,,-2.54E-04,-4.00E-02,,,,,-2.54E-04,8.00E-02
,,,-2.53E-04,-2.00E-02,,,,,-2.53E-04,8.00E-02
,,,-2.53E-04,-4.00E-02,,,,,-2.53E-04,8.00E-02
,,,-2.52E-04,-2.00E-02,,,,,-2.52E-04,0
,,,-2.52E-04,-4.00E-02,,,,,-2.52E-04,8.00E-02
,,,-2.52E-04,-2.00E-02,,,,,-2.52E-04,-8.00E-02
,,,-2.51E-04,-4.00E-02,,,,,-2.51E-04,8.00E-02
,,,-2.51E-04,-2.00E-02,,,,,-2.51E-04,0
,,,-2.50E-04,-4.00E-02,,,,,-2.50E-04,0
,,,-2.50E-04,0,,,,,-2.50E-04,0
,,,-2.50E-04,-8.00E-02,,,,,-2.50E-04,0
,,,-2.49E-04,-2.00E-02,,,,,-2.49E-04,8.00E-02
,,,-2.49E-04,-2.00E-02,,,,,-2.49E-04,0
,,,-2.48E-04,-2.00E-02,,,,,-2.48E-04,0
,,,-2.48E-04,-8.00E-02,,,,,-2.48E-04,0
,,,-2.48E-04,-4.00E-02,,,,,-2.48E-04,8.00E-02
,,,-2.47E-04,-4.00E-02,,,,,-2.47E-04,8.00E-02
,,,-2.47E-04,-2.00E-02,,,,,-2.47E-04,0
,,,-2.46E-04,-4.00E-02,,,,,-2.46E-04,0
,,,-2.46E-04,4.00E-02,,,,,-2.46E-04,8.00E-02
,,,-2.46E-04,-2.00E-02,,,,,-2.46E-04,0
,,,-2.45E-04,-2.00E-02,,,,,-2.45E-04,8.00E-02
,,,-2.45E-04,-2.00E-02,,,,,-2.45E-04,0
