Record Length,1.02E+03,,freq,level
Sample Interval,1.23E+02,,0,-52.9897
Trigger Point,0.00E+00,,123.30335,-48.1897
,,,246.60669,-53.7897
,,,369.91004,-51.7897
,,,493.21338,-48.9897
Source,MATH,,616.51673,-40.9897
Vertical Units,dB,,739.82008,-18.5897
Vertical Scale,1.00E+01,,863.12342,-8.9897
Vertical Offset,0.00E+00,,986.42677,-11.7897
Horizontal Units,Hz,,1109.73011,-32.5897
Horizontal Scale,1.26E+04,,1233.03346,-46.5897
Pt Fmt,Y,,1356.33681,-53.7897
Yzero,-2.70E+01,,1479.64015,-63.3897
Probe Atten,1.00E+01,,1602.9435,-60.5897
Firmware Version,FV:v6.08,,1726.24684,-55.7897
,,,1849.55019,-55.7897
,,,1972.85354,-66.9897
,,,2096.15689,-65.7897
,,,2219.46024,-66.9897
,,,2342.76359,-66.9897
,,,2466.06694,-66.9897
,,,2589.37029,-66.9897
,,,2712.67364,-66.9897
,,,2835.97699,-66.9897
,,,2959.28034,-66.9897
,,,3082.58369,-66.9897
,,,3205.88704,-66.9897
,,,3329.19039,-66.9897
,,,3452.49374,-66.9897
,,,3575.79709,-66.9897
,,,3699.10044,-66.9897
,,,3822.40379,-66.9897
,,,3945.70714,-66.9897
,,,4069.01049,-66.9897
,,,4192.31384,-66.9897
,,,4315.61719,-66.9897
,,,4438.92054,-66.9897
,,,4562.22389,-66.9897
,,,4685.52724,-66.9897
,,,4808.83059,-66.9897
,,,4932.13394,-66.9897
,,,5055.43729,-66.9897
,,,5178.74064,-65.7897
,,,5302.04399,-65.7897
,,,5425.34734,-66.9897
,,,5548.65069,-66.9897
,,,5671.95404,-66.9897
,,,5795.25739,-66.9897
,,,5918.56074,-66.9897
,,,6041.86409,-66.9897
,,,6165.16744,-66.9897
,,,6288.47079,-62.9897
,,,6411.77414,-65.7897
,,,6535.07749,-66.9897
,,,6658.38084,-66.9897
,,,6781.68419,-63.7897
,,,6904.98754,-65.7897
,,,7028.29089,-66.9897
,,,7151.59424,-63.7897
,,,7274.89759,-66.9897
,,,7398.20094,-66.9897
,,,7521.50429,-66.9897
,,,7644.80764,-66.9897
,,,7768.11099,-66.9897
,,,7891.41434,-66.9897
,,,8014.71769,-66.9897
,,,8138.02104,-66.9897
,,,8261.32439,-66.9897
,,,8384.62774,-66.9897
,,,8507.93109,-66.9897
,,,8631.23444,-66.9897
,,,8754.53779,-66.9897
,,,8877.84114,-66.9897
,,,9001.14449,-66.9897
,,,9124.44784,-65.7897
,,,9247.75119,-66.9897
,,,9371.05454,-66.9897
,,,9494.35789,-65.7897
,,,9617.66124,-65.7897
,,,9740.96459,-66.9897
,,,9864.26794,-66.9897
,,,9987.57129,-65.7897
,,,10110.87464,-66.9897
,,,10234.17799,-66.9897
,,,10357.48134,-66.9897
,,,10480.78469,-65.7897
,,,10604.08804,-65.7897
,,,10727.39139,-66.9897
,,,10850.69474,-66.9897
,,,10973.99809,-65.7897
